job_id,subtime,start_time,finish_time,waiting_time
27745,5152700,5152755.0,5153726.0,55.0
27734,5152286,5153726.0,5153730.0,1440.0
27735,5152337,5153730.0,5153820.0,1393.0
27654,5147201,5150492.0,5153865.0,3291.0
27741,5152593,5153820.0,5153898.0,1227.0
27753,5153406,5153406.0,5154050.0,0.0
27768,5154296,5154296.0,5154333.0,0.0
27720,5150878,5153865.0,5154482.0,2987.0
27760,5153899,5153899.0,5154589.0,0.0
27770,5154568,5154589.0,5154653.0,21.0
27766,5154261,5154261.0,5154703.0,0.0
27771,5154633,5154653.0,5154706.0,20.0
27774,5154944,5154944.0,5154959.0,0.0
27775,5154951,5154951.0,5154960.0,0.0
27773,5154937,5154937.0,5154961.0,0.0
27776,5154963,5154963.0,5155027.0,0.0
27778,5154989,5155027.0,5155096.0,38.0
27777,5154982,5155027.0,5155101.0,45.0
27780,5155245,5155245.0,5155269.0,0.0
27781,5155297,5155297.0,5155379.0,0.0
27779,5155028,5155028.0,5155749.0,0.0
27691,5149462,5152519.0,5155873.0,3057.0
27759,5153747,5155873.0,5156015.0,2126.0
27752,5153309,5156009.0,5156025.0,2700.0
27716,5150631,5150712.0,5156306.0,81.0
27783,5155514,5156306.0,5156332.0,792.0
27784,5155549,5156332.0,5156401.0,783.0
27757,5153536,5156405.0,5156428.0,2869.0
27785,5155699,5156401.0,5156461.0,702.0
27791,5156452,5156461.0,5156563.0,9.0
27792,5156485,5156563.0,5156670.0,78.0
27794,5156507,5156670.0,5156773.0,163.0
27797,5156705,5156705.0,5156834.0,0.0
27799,5156896,5156896.0,5156920.0,0.0
27801,5157013,5157013.0,5157143.0,0.0
27802,5157146,5157146.0,5157239.0,0.0
27762,5153978,5153978.0,5157830.0,0.0
27747,5152829,5154482.0,5158080.0,1653.0
27793,5156502,5158080.0,5158190.0,1578.0
27795,5156651,5158190.0,5158320.0,1539.0
27796,5156672,5158320.0,5158977.0,1648.0
27715,5150592,5153432.0,5159063.0,2840.0
27786,5155784,5159150.0,5159220.0,3366.0
27798,5156841,5158977.0,5159886.0,2136.0
27761,5153912,5156015.0,5159932.0,2103.0
27813,5158220,5159932.0,5160035.0,1712.0
27814,5158232,5159932.0,5160037.0,1700.0
27809,5158038,5159886.0,5160073.0,1848.0
27818,5158389,5160073.0,5160132.0,1684.0
27803,5157596,5160296.0,5160430.0,2700.0
27830,5160414,5160530.0,5160553.0,116.0
27805,5157609,5160530.0,5160650.0,2921.0
27821,5159045,5160650.0,5160719.0,1605.0
27824,5159379,5160719.0,5160746.0,1340.0
27819,5158452,5160132.0,5160748.0,1680.0
27826,5159756,5160748.0,5160781.0,992.0
27825,5159709,5160746.0,5160830.0,1037.0
27827,5159803,5160781.0,5160870.0,978.0
27828,5160157,5160830.0,5160880.0,673.0
27829,5160295,5160870.0,5160896.0,575.0
27832,5160685,5160896.0,5160915.0,211.0
27833,5160802,5160896.0,5160916.0,94.0
27823,5159264,5160719.0,5160919.0,1455.0
27831,5160519,5160880.0,5160965.0,361.0
27834,5160916,5160916.0,5161254.0,0.0
27808,5157884,5161934.0,5162037.0,4050.0
27839,5161999,5162037.0,5162171.0,38.0
27841,5162301,5162301.0,5162338.0,0.0
27842,5162471,5162471.0,5162542.0,0.0
27806,5157861,5159063.0,5162603.0,1202.0
27835,5161405,5162603.0,5162715.0,1198.0
27807,5157883,5159220.0,5162738.0,1337.0
27836,5161579,5162715.0,5162894.0,1136.0
27837,5161598,5162738.0,5162898.0,1140.0
27838,5161778,5162894.0,5162983.0,1116.0
27845,5162751,5162983.0,5163045.0,232.0
27840,5162095,5162898.0,5163356.0,803.0
27846,5163411,5163411.0,5163434.0,0.0
27847,5163990,5163990.0,5164006.0,0.0
27849,5164050,5164050.0,5164080.0,0.0
27815,5158241,5160430.0,5164087.0,2189.0
27810,5158131,5159932.0,5164462.0,1801.0
27843,5162588,5164462.0,5165857.0,1874.0
27848,5164038,5165857.0,5165951.0,1819.0
27852,5164249,5165951.0,5165992.0,1702.0
27851,5164151,5165857.0,5166532.0,1706.0
27855,5164835,5166532.0,5166602.0,1697.0
27850,5164068,5166768.0,5166832.0,2700.0
27860,5166913,5167337.0,5167352.0,424.0
27812,5158216,5162586.0,5167406.0,4370.0
27856,5164853,5168083.0,5168136.0,3230.0
27862,5168597,5168597.0,5168613.0,0.0
27858,5166301,5169001.0,5169017.0,2700.0
27857,5166013,5166602.0,5169912.0,589.0
27859,5166787,5169912.0,5170035.0,3125.0
27853,5164566,5165992.0,5170752.0,1426.0
27844,5162668,5168456.0,5171800.0,5788.0
27854,5164646,5167346.0,5172326.0,2700.0
27861,5167337,5170035.0,5172398.0,2698.0
27865,5169707,5172407.0,5172424.0,2700.0
27871,5172869,5172869.0,5172883.0,0.0
27866,5169786,5172398.0,5172886.0,2612.0
27867,5170324,5173024.0,5173035.0,2700.0
27588,5144578,5147278.0,5173059.0,2700.0
27863,5169330,5170752.0,5174192.0,1422.0
27873,5174053,5174192.0,5174208.0,139.0
27869,5171772,5174472.0,5174488.0,2700.0
27876,5175245,5177945.0,5177960.0,2700.0
27881,5178021,5178021.0,5178036.0,0.0
27877,5175787,5178487.0,5178500.0,2700.0
27878,5176384,5179084.0,5179097.0,2700.0
27868,5170400,5179292.0,5180659.0,8892.0
